rowid,suburb_name,state,postcode,ssc,norm_key,ssc_match,confidence
29827,WANDIN EAST,NSW,,,WANDIN EAST|NSW,,80
29829,WANDIN NORTH,NSW,,,WANDIN NORTH|NSW,,81
29831,WOORI YALLOCK,NSW,,,WOORI YALLOCK|NSW,,82
29833,YELLINGBO,NSW,,,YELLINGBO|NSW,,82
29836,CHAPEL STREET NORTH,NSW,,,CHAPEL STREET NORTH|NSW,,83
29838,DOMAIN ROAD PO,NSW,,,DOMAIN ROAD PO|NSW,,78
29840,SOUTH YARRA,NSW,,,SOUTH YARRA|NSW,,80
29842,HAWKSBURN,NSW,,,HAWKSBURN|NSW,,78
29844,TOORAK,NSW,,,TOORAK|NSW,,84
29856,CAULFIELD EAST,NSW,,,CAULFIELD EAST|NSW,,83
29862,DARLING SOUTH,NSW,,,DARLING SOUTH|NSW,,83
29864,MALVERN EAST,NSW,,,MALVERN EAST|NSW,,81
29866,WATTLETREE ROAD PO,NSW,,,WATTLETREE ROAD PO|NSW,,82
29872,ASHBURTON,NSW,,,ASHBURTON|NSW,,83
29880,HOLMESGLEN,NSW,,,HOLMESGLEN|NSW,,83
29884,MOUNT WAVERLEY,NSW,,,MOUNT WAVERLEY|NSW,,83
29890,BRANDON PARK,NSW,,,BRANDON PARK|NSW,,83
29892,GLEN WAVERLEY,NSW,,,GLEN WAVERLEY|NSW,,83
29894,WHEELERS HILL,NSW,,,WHEELERS HILL|NSW,,82
29896,BURWOOD EAST,NSW,,,BURWOOD EAST|NSW,,81
29901,STUDFIELD,NSW,,,STUDFIELD|NSW,,81
29903,WANTIRNA,NSW,,,WANTIRNA|NSW,,78
29905,WANTIRNA SOUTH,NSW,,,WANTIRNA SOUTH|NSW,,78
29909,BAYSWATER NORTH,NSW,,,BAYSWATER NORTH|NSW,,84
29916,LYSTERFIELD,NSW,,,LYSTERFIELD|NSW,,83
29918,LYSTERFIELD SOUTH,NSW,,,LYSTERFIELD SOUTH|NSW,,84
29920,MOUNTAIN GATE,NSW,,,MOUNTAIN GATE|NSW,,82
