rowid,suburb_name,state,postcode,candidate_ssc,score,norm_key,matched_canonical_key
29387,ESSENDON,NSW,,11738,80,ESSENDON|NSW,ESSINGTON|NSW
29387,ESSENDON,NSW,,11987,78,ESSENDON|NSW,GLENDON|NSW
29387,ESSENDON,NSW,,10281,77,ESSENDON|NSW,BASSENDEAN|NSW
29389,ESSENDON WEST,NSW,,11076,82,ESSENDON WEST|NSW,CESSNOCK WEST|NSW
29389,ESSENDON WEST,NSW,,21057,82,ESSENDON WEST|NSW,ESSENDON WEST|VIC
29389,ESSENDON WEST,NSW,,11502,74,ESSENDON WEST|NSW,DENISTONE WEST|NSW
29391,CROSS KEYS,NSW,,12589,83,CROSS KEYS|NSW,KINGS CROSS|NSW
29391,CROSS KEYS,NSW,,11376,79,CROSS KEYS|NSW,CROWS NEST|NSW
29391,CROSS KEYS,NSW,,20808,79,CROSS KEYS|NSW,CROSS KEYS|VIC
29393,ESSENDON FIELDS,NSW,,21055,84,ESSENDON FIELDS|NSW,ESSENDON FIELDS|VIC
29393,ESSENDON FIELDS,NSW,,11710,73,ESSENDON FIELDS|NSW,ENFIELD|NSW
29393,ESSENDON FIELDS,NSW,,12762,73,ESSENDON FIELDS|NSW,LECONFIELD|NSW
29395,ESSENDON NORTH,NSW,,21056,83,ESSENDON NORTH|NSW,ESSENDON NORTH|VIC
29395,ESSENDON NORTH,NSW,,13594,76,ESSENDON NORTH|NSW,NORTH CASINO|NSW
29395,ESSENDON NORTH,NSW,,10342,74,ESSENDON NORTH|NSW,BELMONT NORTH|NSW
29399,STRATHMORE HEIGHTS,NSW,,22878,82,STRATHMORE HEIGHTS|NSW,STRATHMORE HEIGHTS|VIC
29399,STRATHMORE HEIGHTS,NSW,,15201,74,STRATHMORE HEIGHTS|NSW,WATERVIEW HEIGHTS|NSW
29399,STRATHMORE HEIGHTS,NSW,,13686,73,STRATHMORE HEIGHTS|NSW,OAKHAMPTON HEIGHTS|NSW
29401,AIRPORT WEST,NSW,,20017,81,AIRPORT WEST|NSW,AIRPORT WEST|VIC
29401,AIRPORT WEST,NSW,,41490,76,AIRPORT WEST|NSW,PORT PIRIE WEST|SA
29401,AIRPORT WEST,NSW,,10288,73,AIRPORT WEST|NSW,BATHURST WEST|NSW
