ssc,suburb_name,state,postcodes
10353,BEN BUCKLEY,NSW,2850
10354,BEN BULLEN,NSW,2790
10355,BEN LOMOND,NSW,2365
10356,BEN VENUE,NSW,2350
10357,BENANDARAH,NSW,2536
10358,BENAYEO,NSW,2737
10359,BENARCA,NSW,2710
10360,BENDALONG,NSW,2539
10361,BENDEELA,NSW,2577
10362,BENDEMEER,NSW,2355
10363,BENDICK MURRELL,NSW,2803
10364,BENDOLBA,NSW,2420
10365,BENDOURA,NSW,2622
10366,MEEREEK,NSW,2798
10367,BENEREMBAH,NSW,2680
10368,GLENGALA,NSW,2333
10369,BENI,NSW,2830
10370,BENNETTS GREEN,NSW,2290
10371,BENOLONG,NSW,2818
10372,BENSVILLE,NSW,2251
10373,BENTLEY,NSW,2480
10374,BREAMLEA,NSW,2141
10375,BERAMBING,NSW,2758
10376,BERESFIELD,NSW,2322
10377,BERGALIA,NSW,2537
10378,BERKELEY,NSW,2506
10379,BERKELEY VALE,NSW,2261
10380,BERKSHIRE PARK,NSW,2765
10381,GHERANG,NSW,2622
10382,BERMAGUI,NSW,2546
10383,BERMAGUI SOUTH,NSW,2546
10384,BEROWRA,NSW,2081
10385,BEROWRA CREEK,NSW,2082
10386,BEROWRA HEIGHTS,NSW,2082
10387,BEROWRA WATERS,NSW,2082
10388,BERRAMBOOL,NSW,2548
10389,BERRARA,NSW,2540
10390,BERREMANGRA,NSW,2582
10391,COBRICO,NSW,2422
10392,BERRIDALE,NSW,2628
10393,BERRINGA,NSW,2390
10394,BERRIGAN,NSW,2712
10395,BERRILEE,NSW,2159
10396,DERRIMUT,NSW,2577
10397,BERRINGER LAKE,NSW,2539
10398,BERRYBANK,NSW,2535
10399,BERRY JERRY,NSW,2650
10400,BERRY JERRY,NSW,2701
10401,BERRY MOUNTAIN,NSW,2535
10402,BERRY PARK,NSW,2321
10403,BERTHONG,NSW,2594
10404,BERYL,NSW,2852
10405,BETHUNGRA,NSW,2590
10406,BEVENDALE,NSW,2581
10407,BEVERLEY PARK,NSW,2217
10408,BEVERLY HILLS,NSW,2209
10409,BEWONG,NSW,2540
10410,BEXHILL,NSW,2480
10411,BEXLEY,NSW,2207
10412,BURNLEY NORTH,NSW,2207
10413,BEXLEY SOUTH,NSW,2207
10414,BIALA,NSW,2581
10415,BIBBENLUKE,NSW,2632
10416,BICKLEY VALE,NSW,2570
10417,BIDDON,NSW,2827
10418,BIDGEEMIA,NSW,2642
10419,BIDWILL,NSW,2770
10420,BIELSDOWN HILLS,NSW,2453
10421,BRIAR HILL,NSW,2579
10422,BIG JACKS CREEK,NSW,2339
10423,BIG RIDGE,NSW,2330
10424,BIG SPRINGS,NSW,2650
10425,BIG YENGO,NSW,2330
10426,BIGGA,NSW,2583
10427,BILAMBIL,NSW,2486
10428,BILAMBIL HEIGHTS,NSW,2486
10429,BILBUL,NSW,2680
10430,BILGOLA,NSW,2107
10431,BILGOLA BEACH,NSW,2107
10432,BILGOLA PLATEAU,NSW,2107
10433,BILLEROY,NSW,2829
10434,BILLILINGRA,NSW,2630
10435,BILLIMARI,NSW,2804
10436,BILLINUDGEL,NSW,2483
10437,BILLYRIMBA,NSW,2372
10438,BILLYS CREEK,NSW,2453
10439,BILLYWILLINGA,NSW,2795
10440,BILPIN,NSW,2758
10441,BIMBERI,NSW,2611
10442,BIMBI,NSW,2810
10443,BIMBIMBIE,NSW,2536
10444,BIMLOW,NSW,2787
10445,BUNINYONG,NSW,2584
10446,BINDA,NSW,2583
10447,MININERA,NSW,2422
10448,BINDOGUNDRA,NSW,2870
10449,BINDOOK,NSW,2787
10450,BINGARA,NSW,2404
10451,BINGEEBEEBRA,NSW,2469
10452,BINGEEBEEBRA CREEK,NSW,2469
10453,DIXIE,NSW,2537
10454,BINGLEBURRA,NSW,2311
10455,BINIGUY,NSW,2399
10456,BINJURA,NSW,2630
10457,BINNA BURRA,NSW,2479
10458,BINNAWAY,NSW,2395
