rowid,suburb_name,state,postcode,candidate_ssc,score,matched_canonical_key
30140,CARRUM DOWNS,NSW,,20608,81,CARRUM DOWNS|VIC
30142,HEATHERTON,NSW,,11702,80,EMERTON|NSW
30146,MCKINNON,NSW,,13185,76,MINTO|NSW
30148,ORMOND,NSW,,14053,82,RICHMOND|NSW
30152,SOUTH MELBOURNE,NSW,,10130,80,AUBURN SOUTH|NSW
30154,SOUTH MELBOURNE DC,NSW,,22788,82,SOUTH MELBOURNE DC|VIC
30156,ALBERT PARK,NSW,,10402,83,BERRY PARK|NSW
30158,MIDDLE PARK,NSW,,13140,81,MIDDLE POCKET|NSW
30160,GARDEN CITY,NSW,,21147,80,GARDEN CITY|VIC
30162,PORT MELBOURNE,NSW,,22522,78,PORT MELBOURNE|VIC
30169,POINT WILSON,NSW,,13903,79,POINT WOLSTONCROFT|NSW
30171,ANAKIE,NSW,,10971,80,CANGAI|NSW
30173,BATESFORD,NSW,,10120,83,ASHFORD|NSW
30175,LOVELY BANKS,NSW,,21844,81,LOVELY BANKS|VIC
30177,MOORABOOL,NSW,,11238,83,COOBOOL|NSW
30179,CORIO,NSW,,11294,84,CORAKI|NSW
30181,NORLANE,NSW,,12423,82,JENOLAN|NSW
30186,BELL POST HILL,NSW,,20233,78,BELL POST HILL|VIC
30188,DRUMCONDRA,NSW,,20953,79,DRUMCONDRA|VIC
30190,GEELONG NORTH,NSW,,10342,82,BELMONT NORTH|NSW
30192,HAMLYN HEIGHTS,NSW,,10973,83,CANLEY HEIGHTS|NSW
30194,NORTH GEELONG,NSW,,10342,82,BELMONT NORTH|NSW
30196,RIPPLESIDE,NSW,,14063,81,RIVERSIDE|NSW
30203,GROVEDALE EAST,NSW,,21328,83,GROVEDALE EAST|VIC
30211,WANDANA HEIGHTS,NSW,,23219,84,WANDANA HEIGHTS|VIC
30213,WAURN PONDS,NSW,,14205,79,SAUMAREZ PONDS|NSW
30215,ARMSTRONG CREEK,NSW,,30106,84,ARMSTRONG CREEK|QLD
30219,DEAKIN UNIVERSITY,NSW,,20864,81,DEAKIN UNIVERSITY|VIC
30221,FYANSFORD,NSW,,10120,83,ASHFORD|NSW
30223,GEELONG WEST,NSW,,11745,82,EUABALONG WEST|NSW
30229,MURGHEBOLUC,NSW,,22214,80,MURGHEBOLUC|VIC
30235,EAST GEELONG,NSW,,20990,81,EAST GEELONG|VIC
30237,NEWCOMB,NSW,,11679,82,ELCOMBE|NSW
30239,ST ALBANS PARK,NSW,,14366,84,ST ALBANS|NSW
30241,THOMSON,NSW,,14849,82,TOMBONG|NSW
30250,SOUTH GEELONG,NSW,,10343,82,BELMONT SOUTH|NSW
30256,CERES,NSW,,11124,78,CLARE|NSW
30258,GEELONG MC,NSW,,21157,79,GEELONG MC|VIC
30260,GNARWARRE,NSW,,13484,78,NARARA|NSW
30262,GREY RIVER,NSW,,11843,80,FORBES RIVER|NSW
30264,KENNETT RIVER,NSW,,21594,76,KENNETT RIVER|VIC
30268,SEPARATION CREEK,NSW,,14345,83,SPRING CREEK|NSW
30270,STAUGHTON VALE,NSW,,22846,78,STAUGHTON VALE|VIC
30277,WYE RIVER,NSW,,15556,81,YASS RIVER|NSW
30279,CLIFTON SPRINGS,NSW,,20686,79,CLIFTON SPRINGS|VIC
30284,MANNERIM,NSW,,12966,76,MANAR|NSW
30288,INDENTED HEAD,NSW,,21474,82,INDENTED HEAD|VIC
30290,PORTARLINGTON,NSW,,14880,84,TORRINGTON|NSW
30293,LEOPOLD,NSW,,12013,78,GLENWOOD|NSW
30295,POINT LONSDALE,NSW,,11442,82,DALEYS POINT|NSW
30301,OCEAN GROVE,NSW,,13730,84,ORANGE GROVE|NSW
30303,BARWON HEADS,NSW,,10729,84,BROKEN HEAD|NSW
30305,BREAMLEA,NSW,,10374,82,BERALA|NSW
30307,CONNEWARRE,NSW,,20743,79,CONNEWARRE|VIC
30311,BELLS BEACH,NSW,,10518,84,BLUEYS BEACH|NSW
30313,JAN JUC,NSW,,21507,73,JAN JUC|VIC
30315,TORQUAY,NSW,,14801,80,THORA|NSW
