ssc,suburb_name,state
15048,URUNGA,NSW
15003,UPPER CORINDI,NSW
15450,WOOLGOOLGA,NSW
14778,THE PINNACLES,NSW
14793,THE WHITEMAN,NSW
14888,TOWALLUM,NSW
14898,TRENAYR,NSW
14969,TYNDALE,NSW
15002,UPPER COPMANHURST,NSW
15009,UPPER FINE FLOWER,NSW
15161,WARRAGAI CREEK,NSW
15191,WASHPOOL,NSW
15200,WATERVIEW,NSW
15201,WATERVIEW HEIGHTS,NSW
15241,WELLS CROSSING,NSW
15308,WHITEMAN CREEK,NSW
15366,WINEGROVE,NSW
15410,WOMBAT CREEK,NSW
14913,TUCABIA,NSW
14977,ULMARRA,NSW
15451,WOOLI,NSW
14669,TALOUMBI,NSW
14786,THE SANDON,NSW
14890,TOWNSEND,NSW
14929,TULLYMORGAN,NSW
15429,WOODFORD,NSW
15431,WOODFORD ISLAND,NSW
15460,WOOLOWEYAH,NSW
15516,YAMBA,NSW
15590,YURAYGIR,NSW
14763,THE FRESHWATER,NSW
15447,WOODY HEAD,NSW
14649,TABULAM,NSW
14794,THERESA CREEK,NSW
14939,TUNGLEBUNG,NSW
15006,UPPER DUCK CREEK,NSW
15173,WARREGAH ISLAND,NSW
15303,WHIPORIE,NSW
15463,WOOMBAH,NSW
15485,WYAN,NSW
15504,YABBRA,NSW
14854,TOMKI,NSW
15021,UPPER MONGOGARIE,NSW
15445,WOODVIEW,NSW
15456,WOOLNERS ARM,NSW
15467,WOOROOWOOLGAN,NSW
15583,YORKLEA,NSW
14709,TATHAM,NSW
15262,WEST BUNGAWALBIN,NSW
15264,WEST CORAKI,NSW
14646,TABBIMOBLE,NSW
14764,THE GAP,NSW
14910,TRUSTUMS HILL,NSW
15425,WOODBURN,NSW
14739,TERRACE CREEK,NSW
14782,THE RISK,NSW
14868,TOONUMBAR,NSW
14992,UNUMGAR,NSW
15008,UPPER EDEN CREEK,NSW
15011,UPPER HORSESHOE CREEK,NSW
15070,WADEVILLE,NSW
15172,WARRAZAMBIL CREEK,NSW
15276,WEST WIANGAREE,NSW
15316,WIANGAREE,NSW
15498,WYNEDEN,NSW
14862,TOOLOOM,NSW
15030,UPPER TOOLOOM,NSW
15042,URBENVILLE,NSW
15094,WALLABY CREEK,NSW
14766,THE GLEN,NSW
15428,WOODENBONG,NSW
14915,TUCKOMBIL,NSW
15035,URALBA,NSW
15146,WARDELL,NSW
15398,WOLLONGBAR,NSW
14747,TEVEN,NSW
14834,TINTENBAR,NSW
15260,WEST BALLINA,NSW
14733,TERANIA CREEK,NSW
14759,THE CHANNON,NSW
14896,TREGEAGLE,NSW
14914,TUCKI TUCKI,NSW
14916,TUCKURIMBA,NSW
14925,TULLERA,NSW
14937,TUNCESTER,NSW
14941,TUNTABLE CREEK,NSW
14942,TUNTABLE FALLS,NSW
15000,UPPER COOPERS CREEK,NSW
15302,WHIAN WHIAN,NSW
15436,WOODLAWN,NSW
15503,WYRALLAH,NSW
14668,TALOFA,NSW
14965,TYAGARAH,NSW
15001,UPPER COOPERS CREEK,NSW
