Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2010,19012,19012,114577,72740,0.85,16184,100987,76788,0.16,2956,2861,1570,19012,119513,75980,19012,4807,1368,0.12,2346,160014,29012,0.11,2099,122893,11115,0.83,15820,41096,19017,23491,173351,48979
2011,12968,12968,137254,74032,0.79,10288,104772,78768,0.16,2119,4097,2169,12968,143087,77856,12968,5492,1486,0.12,1597,131786,30370,0.11,1473,75334,12100,0.83,10767,53996,19613,16091,269759,63289
2015,8369,8369,116200,81946,0.89,7437,100416,86681,0.17,1409,-559,338,8369,119984,85391,8369,3705,1600,0.11,895,72353,26657,0.1,831,40514,9728,0.87,7264,39632,20934,9553,149062,68444
2016,8532,8532,95585,67875,0.86,7296,90777,72736,0.16,1357,3779,2202,8532,99140,70942,8532,3445,1254,0.12,1065,190707,22734,0.11,958,167665,9852,0.81,6892,32343,17693,10364,145860,48989
2017,18874,18874,80942,66364,0.86,16307,84344,74149,0.14,2698,-622,-315,18874,84034,69695,18874,3026,1386,0.11,2044,76755,24973,0.1,1808,53147,10326,0.81,15195,24781,16371,20780,86003,30277
2018,12453,12453,74031,59079,0.84,10502,76733,66413,0.17,2179,2697,1345,12453,76911,61851,12453,2835,1168,0.11,1418,80104,25792,0.1,1300,58815,10848,0.78,9659,22505,14224,13510,104010,42056
2019,8498,8498,80117,66778,0.87,7429,81872,72062,0.17,1453,1770,538,8498,83370,69772,8498,3156,1470,0.1,862,69846,32166,0.09,787,41640,12950,0.83,7048,23062,15874,9425,138184,69547
2020,14886,14886,65966,52962,0.86,12866,69165,59100,0.15,2304,915,42,14886,68640,55477,14886,2597,1160,0.11,1600,60384,24378,0.1,1427,43927,9700,0.77,11422,18790,11580,15926,80935,23932
2021,10317,10317,176804,84541,0.77,7980,134642,85438,0.2,2058,4579,2783,10317,183850,88829,10317,6172,1582,0.12,1285,161171,35583,0.12,1202,81248,13375,0.83,8550,74746,25258,12346,337086,79968
2022,9548,9548,116534,66897,0.78,7403,108706,73952,0.18,1701,7889,4089,9548,121410,71547,9548,4748,1487,0.12,1132,161631,31030,0.11,1019,115685,11717,0.79,7551,45307,19191,10834,218783,51644
2023,7193,7193,245728,84477,0.69,4929,140886,76007,0.22,1577,12753,6335,7193,264687,89899,7193,18258,1594,0.14,975,454638,47750,0.13,906,368501,18146,0.82,5921,113439,26685,8008,602236,88781
2024,7339,7339,177370,80924,0.77,5679,133588,82396,0.21,1564,6970,3359,7339,183174,85503,7339,5642,1626,0.14,1007,132386,36680,0.13,929,63066,15073,0.81,5974,77170,24513,8607,272918,82019
2025,4978,4978,215123,86070,0.67,3357,141989,83592,0.2,1005,9051,4538,4978,225440,90750,4978,8224,1620,0.13,660,260404,42486,0.13,623,154270,15371,0.8,3991,99087,27606,5690,620753,107186
